"track_id","track_name","track_number","track_popularity","explicit","artist_name","artist_popularity","artist_followers","artist_genres","album_id","album_name","album_release_date","album_total_tracks","album_type","track_duration_min"
"5mLjj7Fm5LwzNp6WSwsJIw","Easy On Me","1","21","FALSE","A17N","27","893","latin house, hypertechno","0CcukrMFxh8zidJQHXF4uQ","Easy On Me","2024-05-17","1","single","2.41"
"5cc9Zbfp9u10sfJeKZ3h16","3005","9","4","TRUE","Childish Gambino","78","14559779","N/A","62yjWIhnATHxPqGbgC9Lqr","Because the Internet","2013-12-10","19","album","3.9"
"3iRoXGFrF8O0jTul6LAmus","Under Your Spell","2","77","FALSE","Snow Strippers","65","330171","electroclash, witch house","56hrhzHAOsm5C7kSXzF4kh","April Mixtape 3","2023-05-05","16","album","3.64"
"3YOkRTqknv92aUyOXcTxVg","Can't Forget You","1","57","FALSE","LUM!X","63","224322","slap house, melbourne bounce","17p2hpEP5OkJnFZpbsL3wC","Can't Forget You","2024-06-21","1","single","2.6"
"76ZM9zykOducwZYWRjYsll","DEAD WEIGHT","1","22","FALSE","Maya Kuriel","19","9683","N/A","4SH3mhj3YJ8C5LlGTE8Vx5","DEAD WEIGHT","2025-03-21","1","single","2.49"
"5kDgJffgJ0lYHTSiaXFWNw","BABY I'M BACK","1","74","TRUE","The Kid LAROI","79","6593079","N/A","30H0cGghxhBJ93v4h28XEt","THE FIRST TIME (DELUXE VERSION)","2024-08-09","28","album","2.85"
"1UlhrRvYzbHEyugEDspXUB","Clara Bow","16","57","FALSE","Taylor Swift","100","145489371","country, pop, indie, folk","1Mo4aZ8pdj6L1jx8zSwJnt","THE TORTURED POETS DEPARTMENT","2024-04-18","16","album","3.61"
"1OOtq8tRnDM8kG2gqUPjAj","Beat It","5","75","FALSE","Michael Jackson","84","37431031","N/A","1C2h7mLntPSeVYciMRTF4a","Thriller 25 Super Deluxe Edition","2008-02-08","30","album","4.3"
"02Z1u6mX0puSryZFJpqV0G","Not Like The Movies","12","35","FALSE","Katy Perry","83","38385499","pop","06SY6Ke6mXzZHhURLVU57R","Teenage Dream","2010-08-24","17","album","4.02"
"0FolPJnYMo71Z7qasTuoJT","Given Up On Me","11","67","FALSE","The Weeknd","94","112995439","r&b pop, alternative r&b, hip hop, synthpop","3OxfaVgvTxUTy7276t7SPU","Hurry Up Tomorrow","2025-01-31","22","album","5.91"
"2U7svZUGvR4tfKdyxv9mXu","would've been you","1","79","FALSE","sombr","85","2789144","N/A","1a43UOca3qYS1ZcS0b9wSk","would've been you","2023-11-17","1","single","3.05"
"7clEXtT4uQj4ZUK89eR5Dr","Boys","1","37","FALSE","Sky Ferreira","54","640612","N/A","0DucmDrdJM4evPXMbFJXBS","Night Time, My Time","2013-01-01","14","album","4.66"
"78O33U6jbQtNiNfbkZudpd","She Will","6","78","TRUE","Lil Wayne","86","17938214","rap, hip hop","2YL3ddwHuiBGumvzcGHyjT","Tha Carter IV (Explicit Version)","2011-01-01","15","album","5.09"
